R: [0, 0, 0] L: [98, 144, 100]
R: [90, 117, 81] L: [96, 143, 98]
R: [89, 117, 81] L: [98, 144, 100]
R: [90, 118, 82] L: [95, 142, 98]
R: [90, 118, 81] L: [97, 143, 100]
R: [88, 116, 81] L: [96, 143, 98]
R: [89, 117, 83] L: [97, 144, 99]
R: [90, 118, 82] L: [97, 142, 99]
R: [88, 117, 82] L: [95, 142, 97]
R: [89, 118, 83] L: [97, 142, 98]
R: [88, 115, 80] L: [96, 143, 98]
R: [89, 117, 81] L: [99, 143, 100]
R: [87, 116, 80] L: [96, 144, 98]
R: [89, 116, 81] L: [98, 144, 99]
R: [90, 119, 83] L: [98, 144, 99]
R: [91, 117, 81] L: [96, 143, 98]
R: [91, 118, 83] L: [97, 143, 100]
R: [88, 116, 82] L: [98, 144, 99]
R: [89, 116, 81] L: [97, 143, 99]
R: [88, 117, 81] L: [98, 143, 100]
R: [89, 116, 81] L: [96, 143, 98]
R: [91, 118, 83] L: [100, 144, 100]
R: [86, 117, 77] L: [98, 144, 100]
R: [90, 118, 83] L: [96, 142, 98]
R: [88, 116, 81] L: [97, 144, 99]
R: [89, 117, 81] L: [98, 143, 99]
R: [88, 118, 80] L: [97, 144, 99]
R: [88, 115, 80] L: [95, 141, 99]
R: [90, 119, 82] L: [95, 144, 98]
R: [89, 116, 81] L: [99, 144, 101]
R: [89, 119, 82] L: [97, 143, 99]
R: [87, 116, 80] L: [98, 144, 100]
R: [90, 118, 82] L: [96, 143, 99]
R: [89, 117, 81] L: [97, 143, 99]
R: [89, 118, 81] L: [97, 143, 100]
R: [89, 117, 80] L: [99, 144, 100]
R: [90, 118, 82] L: [98, 147, 100]
R: [93, 117, 82] L: [97, 143, 100]
R: [89, 119, 81] L: [97, 142, 99]
R: [87, 116, 80] L: [98, 144, 99]
R: [90, 119, 82] L: [96, 143, 98]
R: [89, 117, 82] L: [98, 144, 99]
R: [84, 114, 78] L: [97, 142, 100]
R: [88, 117, 81] L: [98, 144, 100]
R: [90, 117, 81] L: [94, 142, 97]
R: [90, 118, 82] L: [96, 140, 98]
R: [88, 118, 83] L: [100, 143, 101]
R: [89, 116, 81] L: [99, 144, 102]
R: [89, 117, 81] L: [98, 143, 99]
R: [86, 117, 79] L: [98, 144, 101]
R: [90, 118, 84] L: [96, 142, 97]
R: [88, 119, 83] L: [98, 145, 100]
R: [88, 118, 82] L: [97, 142, 96]
R: [86, 116, 82] L: [96, 141, 97]
R: [90, 119, 83] L: [100, 144, 100]
R: [89, 116, 81] L: [97, 145, 100]
R: [89, 117, 81] L: [95, 142, 98]
R: [89, 118, 83] L: [96, 142, 98]
R: [88, 116, 81] L: [96, 143, 98]
R: [86, 115, 78] L: [97, 143, 98]
R: [91, 119, 82] L: [96, 143, 100]
R: [88, 118, 81] L: [97, 143, 98]
R: [88, 118, 81] L: [99, 144, 99]
R: [86, 113, 77] L: [96, 145, 100]
R: [87, 116, 81] L: [97, 144, 100]
R: [88, 120, 82] L: [98, 144, 100]
R: [88, 118, 81] L: [97, 143, 100]
R: [88, 117, 80] L: [97, 144, 99]
R: [89, 118, 83] L: [98, 146, 97]
R: [90, 118, 82] L: [96, 143, 99]
R: [87, 116, 81] L: [97, 142, 99]
R: [87, 115, 81] L: [95, 142, 96]
R: [89, 117, 80] L: [99, 144, 98]
R: [89, 118, 80] L: [99, 146, 100]
R: [87, 116, 80] L: [96, 141, 96]
R: [90, 118, 81] L: [97, 142, 99]
R: [88, 116, 81] L: [98, 144, 99]
R: [88, 116, 81] L: [97, 144, 100]
R: [89, 118, 82] L: [98, 143, 99]
R: [90, 119, 82] L: [97, 143, 99]
R: [89, 117, 82] L: [97, 142, 98]
R: [88, 118, 81] L: [95, 142, 96]
R: [88, 117, 81] L: [98, 143, 100]
R: [90, 118, 81] L: [96, 145, 98]
R: [86, 116, 79] L: [97, 142, 99]
R: [89, 117, 80] L: [98, 145, 99]
R: [90, 117, 81] L: [96, 142, 99]
R: [87, 116, 81] L: [98, 144, 100]
R: [89, 118, 83] L: [96, 143, 99]
R: [89, 117, 82] L: [96, 141, 98]
R: [87, 119, 79] L: [98, 143, 101]
R: [87, 117, 83] L: [97, 143, 98]
R: [91, 117, 82] L: [98, 145, 100]
R: [89, 116, 81] L: [96, 142, 98]
R: [90, 117, 81] L: [96, 143, 97]
R: [89, 118, 83] L: [97, 144, 100]
R: [89, 117, 80] L: [96, 143, 98]
R: [88, 116, 81] L: [94, 143, 97]
R: [88, 116, 80] L: [98, 143, 99]
R: [90, 118, 82] L: [97, 144, 101]
R: [88, 116, 81] L: [96, 143, 98]
R: [89, 117, 81] L: [99, 145, 100]
R: [83, 116, 79] L: [98, 144, 100]
R: [89, 116, 81] L: [98, 143, 100]
R: [90, 116, 83] L: [99, 140, 103]
